Question Title,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Point
Which of the following correctly matches technology with its runtime engine?,Multiple choice,Java → CLR,Python → JVM,.NET → CLR,Node.js → JUnit,.NET → CLR,1
"In the software engineering ecosystem, which tool is commonly used as a universal editor across multiple languages?",Multiple choice,Eclipse,IntelliJ IDEA,PyCharm,Visual Studio Code,Visual Studio Code,1
Which of the following is a correct example of multilingual microservices in action?,Multiple choice,One single monolithic project written entirely in Java,"Shopping Cart in Java, Product Catalog in .NET, Order Processing in Python",Writing all modules in one language for simplicity,Only frontend React calling one backend monolith service,"Shopping Cart in Java, Product Catalog in .NET, Order Processing in Python",1
"JDBC, ODBC, and Hibernate are typically used for database connectivity in which ecosystem?",Multiple choice,.NET,Java,Node.js,Python,Java,1
A multilingual developer mindset can be best compared to:,Multiple choice,A student who only learns one programming language deeply,A diplomat who speaks multiple human languages and adapts in different countries,A tester who focuses only on automation tools,A developer who avoids learning software engineering practices,A diplomat who speaks multiple human languages and adapts in different countries,1
Which of the following is an example of validation in software testing?,Multiple choice,Reviewing requirement documents for completeness,Conducting code walkthroughs,Testing an online shopping cart to ensure items can be added and removed,Checking design diagrams against specifications,Testing an online shopping cart to ensure items can be added and removed,1
"In automation testing across languages, which tool is correctly paired with its ecosystem?",Multiple choice,Java → NUnit,.NET → JUnit,Python → PyTest,JavaScript → Maven,Python → PyTest,1
Which statement best describes microservices architecture in modern applications?,Multiple choice,A single application handling all features in one codebase,"Independent modules written in different technologies, communicating via APIs",Applications without databases or runtime engines,A purely frontend-driven system without backend integration,"Independent modules written in different technologies, communicating via APIs",1
Why is it recommended to start strong with one technology before learning others?,Multiple choice,Because companies only use one technology at a time,To build a solid foundation that makes it easier to adapt to other languages later,Because learning multiple technologies at once is prohibited in industry,To avoid software testing responsibilities,To build a solid foundation that makes it easier to adapt to other languages later,1
"In the ecosystem of software engineering, which of the following is a key principle for industry readiness?",Multiple choice,Only mastering syntax of one language,Ignoring testing to focus on deployment,"Becoming multilingual while valuing software engineering, testing, and cloud deployment",Learning automation testing but skipping OOP basics,"Becoming multilingual while valuing software engineering, testing, and cloud deployment",1
Which of the following is the first step in SDLC?,Multiple choice,Development,Requirement Analysis,Testing,Deployment,Requirement Analysis,1
"In SDLC, the architect’s primary role is to:",Multiple choice,Write code in Java or C#,Design UML diagrams and system architecture,Execute test cases,Package software into binaries,Design UML diagrams and system architecture,1
Which tool is most commonly used today for source code collaboration?,Multiple choice,TFS,SVN,GitHub,Tortoise SVN,GitHub,1
"In Git workflow, the command used to upload local commits to a remote repository is:",Multiple choice,git pull,git commit,git add,git push,git push,1
The Release Team in software development is responsible for:,Multiple choice,Writing unit test cases,"Creating EXEs, DLLs, and container images",Designing the UI layout,Writing business logic code,"Creating EXEs, DLLs, and container images",1
The QA/Testing team ensures:,Multiple choice,The product has new features,The product is a 0-defect product,Developers submit code on time,The system architecture is scalable,The product is a 0-defect product,1
CI/CD pipelines mainly automate which activities?,Multiple choice,Requirement gathering & architecture,"Building, testing, and deploying code",Code formatting & debugging,UI/UX design,"Building, testing, and deploying code",1
Which type of testing verifies whether the product does what it is supposed to do?,Multiple choice,Functional Testing,Non-Functional Testing,Regression Testing,Endurance Testing,Functional Testing,1
Which of the following is an example of non-functional testing?,Multiple choice,Verifying login works with correct credentials,Checking if the addToCart() method calculates correctly,"Ensuring the system supports 10,000 concurrent users",Testing if product catalog returns correct items,"Ensuring the system supports 10,000 concurrent users",1
Endurance Testing focuses on:,Multiple choice,Speed of execution,System’s ability to sustain long-term heavy load,Verifying all requirements from SRS,Testing UI responsiveness only,System’s ability to sustain long-term heavy load,1
Which of these is a myth about testers?,Multiple choice,Testers prevent defects before release,Testers don’t grow in their careers,Testers are important for quality delivery,Testers can earn high salaries in critical domains,Testers don’t grow in their careers,1
"In the mentor’s real example, a bug in a for loop extra iteration caused:",Multiple choice,Gmail downtime,A satellite launch failure,An exam portal crash,Amazon checkout failure,A satellite launch failure,1
White Box Testing focuses on:,Multiple choice,Inputs and outputs only,"Internal logic, loops, and data structures",Only usability features,System’s load-handling ability,"Internal logic, loops, and data structures",1
Which principle is true about software testing importance?,Multiple choice,Testing is optional if code compiles,"Testing ensures security, reliability, and customer trust",Testing is only about clicking buttons,Testing guarantees faster coding,"Testing ensures security, reliability, and customer trust",1
"According to the mentor’s reflection, the IT ecosystem works best when:",Multiple choice,Developers alone handle coding and testing,Testers alone ensure product quality,"Architects, developers, release, testers, DevOps all collaborate",Companies only hire top coders,"Architects, developers, release, testers, DevOps all collaborate",1
